,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,Accuracy Score,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,Time Taken
68,identity,20,50,0.0001,0.001,0.7974806201550387,0.792750460613413,0.8012751437433757,0.7979998612887813,0.7974806201550387,0.7943415022058029,0.798379269607173,4.53588
69,identity,20,50,0.001,0.1,0.7487887596899225,0.8004027547246227,0.785945546892529,0.7089867530786185,0.7487887596899225,0.7106317060810229,0.7273301898484934,1.32305
70,identity,20,50,0.001,0.01,0.8003875968992248,0.7991598848539778,0.8110036951728317,0.8068272891204167,0.8003875968992248,0.7988406407346472,0.8016439646129978,5.044
71,identity,20,50,0.001,0.001,0.7909399224806202,0.7999063244257254,0.7958385791449584,0.769923362051693,0.7909399224806202,0.7764487631389057,0.7854936732513363,2.91678
72,identity,50,5,0.0001,0.1,0.7255329457364341,0.8052301555373728,0.7859665705596957,0.6777825085153276,0.7255329457364341,0.6706589933962432,0.6920223837435223,1.6587
73,identity,50,5,0.0001,0.01,0.7730135658914729,0.8205860939502869,0.8062838123707351,0.7369987130681381,0.7730135658914729,0.7425978864594333,0.756658975752892,1.96372
74,identity,50,5,0.0001,0.001,0.7696220930232558,0.813858368689748,0.8004111968467365,0.7339933033306105,0.7696220930232558,0.7393402114837024,0.7534588428198411,0.81301
75,identity,50,5,0.001,0.1,0.7279554263565892,0.8062057361863446,0.7871231327483076,0.68074168117997,0.7279554263565892,0.6744894394568532,0.6954539866213642,1.30589
76,identity,50,5,0.001,0.01,0.8030523255813954,0.7981631301541643,0.8062217035216606,0.8030445185950095,0.8030523255813954,0.799789233865399,0.8038510709919523,1.56928
77,identity,50,5,0.001,0.001,0.6802325581395349,0.7982124258720003,0.774056747584704,0.6216323998582063,0.6802325581395349,0.5907801774235169,0.6211847171902048,1.04078
78,identity,50,10,0.0001,0.1,0.812984496124031,0.8111467951291316,0.8124184532015515,0.8023731177658247,0.812984496124031,0.8056485322476181,0.8116490214033873,1.95997
79,identity,50,10,0.0001,0.01,0.7953003875968992,0.7933297814086342,0.804669410000756,0.8006999136907973,0.7953003875968992,0.7935041932768925,0.7965647217805921,1.4023
80,identity,50,10,0.0001,0.001,0.8001453488372093,0.8157556169413416,0.809249685634918,0.7768396575374135,0.8001453488372093,0.7844169321838186,0.7936706015332575,1.03818
81,identity,50,10,0.001,0.1,0.7613856589147286,0.8047764322788813,0.7917552303910113,0.7249905599309526,0.7613856589147286,0.7293095472162138,0.74411737921778,1.53329
82,identity,50,10,0.001,0.01,0.7727713178294574,0.8137903565430495,0.8010011505563022,0.7382904612918637,0.7727713178294574,0.7441815477606213,0.7577720471556622,1.74477
83,identity,50,10,0.001,0.001,0.7143895348837209,0.7952466474424772,0.7762077867681971,0.6649286022532866,0.7143895348837209,0.6543028635846764,0.6772063245795474,1.22017
